epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.835,2.24057,7.22193,1.40037,0.2447,0.47273,0.21223,0.07971,1.97017,2.64057,1.22417,0.0019,0.0019,0.0829
2,219.873,1.89109,1.95284,1.18927,0.36677,0.54545,0.28684,0.09455,2.524,2.20239,1.23143,0.00386139,0.00386139,0.0648614
3,315.525,1.8875,2.10463,1.11743,0.18565,0.4,0.12471,0.0351,2.97879,2.01385,1.70936,0.00578318,0.00578318,0.0467832
4,407.356,1.68868,2.4661,1.10898,0.36859,0.4,0.2401,0.09589,2.08968,1.77841,1.21909,0.00766537,0.00766537,0.0286654
5,500.43,1.87833,4.13241,1.16066,0.39547,0.54545,0.36686,0.18958,1.88705,1.87858,1.1617,0.00950796,0.00950796,0.010508
6,599.614,1.84146,1.98434,1.175,0.41896,0.36364,0.30824,0.15551,1.81,2.57541,1.10173,0.009505,0.009505,0.009505
7,696.524,2.05738,1.62812,1.24051,0.48419,0.87273,0.5058,0.18444,2.17519,6.01275,1.1874,0.009406,0.009406,0.009406
8,792.898,1.69509,2.03599,1.09878,0.49149,0.8,0.54201,0.25948,1.72417,1.49184,1.03474,0.009307,0.009307,0.009307
9,889.051,1.79873,2.40809,1.17541,0.45874,0.76364,0.52798,0.20813,1.96298,3.73646,1.19958,0.009208,0.009208,0.009208
10,984.54,1.75497,1.5222,1.14378,0.47364,0.74545,0.53014,0.27235,1.76599,4.10463,1.06275,0.009109,0.009109,0.009109
11,1080.22,1.64666,1.65609,1.11181,0.45782,0.89091,0.52851,0.24844,1.76402,4.08806,1.0807,0.00901,0.00901,0.00901
12,1176.47,1.77134,1.67012,1.14449,0.49018,0.72727,0.51698,0.15489,2.33125,2.32584,1.30257,0.008911,0.008911,0.008911
13,1272.59,1.728,1.24956,1.12172,0.54149,0.78182,0.60506,0.23943,2.03491,1.33961,1.19203,0.008812,0.008812,0.008812
14,1368.3,1.64211,1.29658,1.10784,0.47038,0.8,0.56564,0.29607,1.73077,1.28039,1.06173,0.008713,0.008713,0.008713
15,1464.22,1.69072,1.24987,1.1085,0.52666,0.63636,0.50576,0.1819,2.24402,1.32926,1.27343,0.008614,0.008614,0.008614
16,1557.87,1.71217,1.2426,1.12486,0.5793,0.70108,0.55437,0.18236,2.15647,1.35437,1.21805,0.008515,0.008515,0.008515
17,1651.53,1.62397,1.11448,1.09632,0.5246,0.80258,0.58038,0.2744,1.81908,1.38851,1.08598,0.008416,0.008416,0.008416
18,1745.85,1.59517,1.24532,1.08155,0.51784,0.8,0.60919,0.29901,1.73285,1.29355,1.05336,0.008317,0.008317,0.008317
19,1838.94,1.61201,1.15516,1.10695,0.61465,0.63636,0.59092,0.21149,2.13014,1.45302,1.19933,0.008218,0.008218,0.008218
20,1931.23,1.62867,1.25977,1.08426,0.59514,0.76364,0.62988,0.30788,1.64242,1.20087,1.04064,0.008119,0.008119,0.008119
21,2023.79,1.58109,1.16392,1.09473,0.72714,0.70909,0.69663,0.38719,1.50255,1.20551,0.98551,0.00802,0.00802,0.00802
22,2116.53,1.58832,1.17673,1.07986,0.76363,0.70493,0.71288,0.37949,1.57848,1.10774,1.01315,0.007921,0.007921,0.007921
23,2209.38,1.60707,1.24085,1.10078,0.6318,0.71764,0.64407,0.23074,1.95664,1.34557,1.13471,0.007822,0.007822,0.007822
24,2303.83,1.55867,1.14101,1.0685,0.63921,0.86976,0.68184,0.30049,1.85741,1.32305,1.07632,0.007723,0.007723,0.007723
25,2397.6,1.68233,1.16763,1.08206,0.61182,0.8024,0.6931,0.31375,1.84193,1.19672,1.06377,0.007624,0.007624,0.007624
26,2490.29,1.55466,1.15737,1.07567,0.63548,0.70909,0.62254,0.29987,1.78813,1.23478,1.0618,0.007525,0.007525,0.007525
27,2583.74,1.56982,1.16183,1.05819,0.65879,0.69091,0.67421,0.35699,1.6288,1.19802,1.00023,0.007426,0.007426,0.007426
28,2675.96,1.57056,1.15237,1.05068,0.69265,0.70909,0.66847,0.34143,1.7186,1.15718,1.04245,0.007327,0.007327,0.007327
29,2768.44,1.53119,1.02829,1.06556,0.55763,0.8,0.63938,0.29283,1.85351,1.36161,1.11424,0.007228,0.007228,0.007228
30,2860.86,1.59105,1.11539,1.06196,0.69679,0.70909,0.70824,0.36549,1.6877,1.18369,1.03967,0.007129,0.007129,0.007129
31,2953.63,1.48879,1.03566,1.02733,0.71971,0.69091,0.72678,0.38187,1.59676,1.09331,1.00913,0.00703,0.00703,0.00703
32,3046.25,1.51694,1.03388,1.05101,0.77279,0.61818,0.7375,0.40172,1.60044,1.07556,0.99008,0.006931,0.006931,0.006931
33,3138.94,1.54118,1.02912,1.04138,0.61799,0.83636,0.76105,0.40535,1.5712,1.09507,1.00024,0.006832,0.006832,0.006832
34,3231.16,1.48004,1.04876,1.02639,0.58075,0.83117,0.75949,0.40258,1.58426,1.13804,1.0082,0.006733,0.006733,0.006733
35,3324.49,1.49017,1.00357,1.02251,0.66177,0.70909,0.73063,0.34384,1.83094,1.244,1.07968,0.006634,0.006634,0.006634
36,3417.7,1.55175,1.03512,1.04085,0.80363,0.56364,0.72017,0.30048,1.86775,1.20741,1.08263,0.006535,0.006535,0.006535
37,3510.16,1.51886,1.02397,1.02151,0.6829,0.76364,0.77855,0.37361,1.84142,1.15293,1.06605,0.006436,0.006436,0.006436
38,3603.08,1.53053,1.02573,1.02898,0.74555,0.69257,0.78712,0.39841,1.68696,1.17864,1.01296,0.006337,0.006337,0.006337
39,3696.19,1.47103,1.00491,1.02402,0.79192,0.69201,0.77766,0.42423,1.65313,1.08558,0.99941,0.006238,0.006238,0.006238
40,3788.49,1.49133,1.01678,1.05581,0.63951,0.83636,0.79199,0.41456,1.67068,1.19432,1.00203,0.006139,0.006139,0.006139
41,3880.96,1.44736,0.99104,1.01023,0.67649,0.74545,0.7634,0.42418,1.6018,1.13584,0.9872,0.00604,0.00604,0.00604
42,3973.29,1.47155,0.96314,1.05326,0.79223,0.63636,0.77948,0.37737,1.79368,1.12383,1.04011,0.005941,0.005941,0.005941
43,4066.4,1.40178,0.94287,1.02326,0.77534,0.65455,0.79504,0.38751,1.69749,1.0978,1.03452,0.005842,0.005842,0.005842
44,4158.83,1.49672,0.99568,1.0313,0.75446,0.67273,0.76905,0.41241,1.5645,1.10985,0.99552,0.005743,0.005743,0.005743
45,4251.39,1.48041,0.98402,1.01618,0.73895,0.66913,0.75464,0.37752,1.7898,1.05052,1.05002,0.005644,0.005644,0.005644
46,4343.62,1.40457,0.9619,1.01456,0.59717,0.76364,0.72854,0.40069,1.65083,1.04236,1.01816,0.005545,0.005545,0.005545
47,4436.34,1.4062,0.97545,1.00547,0.63702,0.8616,0.78765,0.41355,1.58735,1.0466,0.9976,0.005446,0.005446,0.005446
48,4528.85,1.4303,0.94742,1.02399,0.65016,0.72727,0.72595,0.29993,1.95259,1.13912,1.09572,0.005347,0.005347,0.005347
49,4621.4,1.41907,0.9471,1.01979,0.68137,0.73881,0.73596,0.37054,1.62734,1.10075,1.00663,0.005248,0.005248,0.005248
50,4713.91,1.45907,0.97895,1.03211,0.67903,0.69239,0.71991,0.38853,1.57203,1.10687,0.99774,0.005149,0.005149,0.005149
51,4806.64,1.4,0.95661,0.99021,0.72396,0.70909,0.75919,0.40478,1.67804,1.08186,1.02477,0.00505,0.00505,0.00505
52,4898.86,1.4086,0.95304,1.0251,0.72718,0.72727,0.81556,0.41628,1.63707,1.04005,0.99415,0.004951,0.004951,0.004951
53,4990.73,1.42168,0.92827,1.01235,0.59271,0.87273,0.79055,0.44731,1.53212,1.05429,0.95695,0.004852,0.004852,0.004852
54,5083.53,1.37066,0.94932,0.98129,0.60837,0.90385,0.78177,0.44353,1.5966,1.07722,0.9734,0.004753,0.004753,0.004753
55,5176.31,1.40727,0.94044,1.01862,0.76434,0.65455,0.76509,0.3763,1.74884,1.09835,1.0315,0.004654,0.004654,0.004654
56,5268.74,1.36899,0.93107,0.98099,0.67099,0.87273,0.78711,0.42926,1.55,1.02805,0.98339,0.004555,0.004555,0.004555
57,5361.35,1.36829,0.94311,0.97185,0.77956,0.65455,0.76097,0.37916,1.72248,1.12788,1.0237,0.004456,0.004456,0.004456
58,5453.05,1.31197,0.90621,0.97076,0.77909,0.70909,0.76705,0.36219,1.71128,1.07896,1.02939,0.004357,0.004357,0.004357
59,5545.89,1.40108,0.91089,0.99242,0.69952,0.74545,0.76957,0.39405,1.64303,1.05541,0.99911,0.004258,0.004258,0.004258
60,5638.25,1.32469,0.83056,0.9713,0.67093,0.81558,0.7464,0.41663,1.50044,1.06758,0.96306,0.004159,0.004159,0.004159
61,5731.2,1.3722,0.89487,0.98706,0.66969,0.8,0.79856,0.43351,1.53646,1.03242,0.97209,0.00406,0.00406,0.00406
62,5823.28,1.36458,0.89659,1.00043,0.68359,0.81818,0.79667,0.44274,1.46126,1.01094,0.95031,0.003961,0.003961,0.003961
63,5916.49,1.31406,0.85249,0.97815,0.70753,0.85455,0.80007,0.42627,1.49512,0.98911,0.95995,0.003862,0.003862,0.003862
64,6011.07,1.34556,0.86888,0.97196,0.68454,0.83636,0.807,0.46082,1.40021,0.97916,0.95012,0.003763,0.003763,0.003763
65,6103.54,1.34073,0.91205,0.98164,0.67901,0.84622,0.81803,0.43932,1.57199,0.98204,0.99424,0.003664,0.003664,0.003664
66,6196.4,1.32052,0.8729,0.98601,0.72168,0.84866,0.8112,0.46814,1.46592,0.95222,0.96876,0.003565,0.003565,0.003565
67,6289.87,1.2621,0.83638,0.96614,0.64814,0.87082,0.80675,0.48183,1.43317,0.97054,0.95649,0.003466,0.003466,0.003466
68,6382.59,1.3459,0.85123,0.99109,0.68368,0.83636,0.80074,0.45603,1.50622,0.99843,0.97101,0.003367,0.003367,0.003367
69,6475.11,1.29282,0.82596,0.99477,0.69672,0.74545,0.80057,0.43816,1.51588,1.06981,0.98663,0.003268,0.003268,0.003268
